City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
203,Rutland,43.6167,-73.0162,25.0,85,90,10.29,US,2021-01-07 01:56:13
204,Beitbridge,-22.2167,30.0,76.59,76,100,21.32,ZW,2021-01-07 01:56:13
205,Mattru,7.6244,-11.8332,74.98,93,42,1.01,SL,2021-01-07 01:56:13
206,Fort Morgan,40.2503,-103.8,28.4,58,40,9.17,US,2021-01-07 01:56:14
207,Hami,42.8,93.45,5.79,68,21,0.96,CN,2021-01-07 01:56:14
208,Belen,36.4891,36.2233,46.4,70,75,4.7,TR,2021-01-07 01:56:14
209,Okato,-39.2,173.8833,64.0,93,100,3.0,NZ,2021-01-07 01:56:14
210,Udachnyy,66.4167,112.4,14.0,92,90,8.95,RU,2021-01-07 01:56:14
211,Grand-Lahou,5.1367,-5.0242,79.03,85,73,10.98,CI,2021-01-07 01:56:15
212,Erzin,36.9559,36.2,46.4,70,75,4.7,TR,2021-01-07 01:56:15
213,Alofi,-19.0595,-169.9187,76.62,90,100,27.83,NU,2021-01-07 01:56:15
214,Lyuban,52.7985,28.0048,33.19,96,100,8.9,BY,2021-01-07 01:56:15
215,Raga,8.4596,25.678,63.97,29,0,3.29,SS,2021-01-07 01:56:16
216,Muros,42.7762,-9.0603,36.0,85,0,1.01,ES,2021-01-07 01:56:16
217,Carlos Chagas,-17.7031,-40.7664,71.55,80,23,6.42,BR,2021-01-07 01:56:16
218,Uarini,-2.99,-65.1083,73.62,96,96,2.06,BR,2021-01-07 01:56:17
219,Progreso,21.2833,-89.6667,73.4,78,20,11.9,MX,2021-01-07 01:56:17
220,Castro,-24.7911,-50.0119,65.68,96,80,4.97,BR,2021-01-07 01:56:17
221,Vila Franca Do Campo,37.7167,-25.4333,55.4,62,20,18.34,PT,2021-01-07 01:56:17
222,Vrangel,42.7297,133.0839,7.21,81,100,22.82,RU,2021-01-07 01:56:17
223,Upernavik,72.7868,-56.1549,9.21,91,100,19.89,GL,2021-01-07 01:56:18
224,Melo,-32.3667,-54.1833,72.36,75,74,6.24,UY,2021-01-07 01:56:18
225,Vozhega,60.4725,40.2213,3.54,95,81,4.32,RU,2021-01-07 01:56:18
226,Makat,47.6469,53.3463,17.76,96,100,16.22,KZ,2021-01-07 01:56:18
227,Sur,22.5667,59.5289,66.47,53,0,17.67,OM,2021-01-07 01:56:19
228,Tazovskiy,67.4667,78.7,-10.48,90,100,15.37,RU,2021-01-07 01:56:19
229,Darnah,32.767,22.6367,57.54,76,23,6.91,LY,2021-01-07 01:52:36
230,Saint George,37.1041,-113.5841,48.2,29,1,3.36,US,2021-01-07 01:56:19
